,1874,0
,1875,0
,1876,0
,1877,0
,1878,0
,1879,0
,1880,0
,1881,0
,1882,0
,1883,0
,1884,0
,1885,0
,1886,0
,1887,0
,1888,0
,1889,0
,1890,0
,1891,0
,1892,0
,1893,0
,1894,0
,1895,0
,1896,0
,1897,0
,1898,0
,1899,0
,1900,0
,1901,0
,1902,0
,1903,0
,1904,0
,1905,0
,1906,0
,1907,0
,1908,0
,1909,0
,1910,0
,1911,0
,1912,0
,1913,0
,1914,0
,1915,0
,1916,0
,1917,0
,1918,0
,1919,0
,1920,0
,1921,0
,1922,0
,1923,0
,1924,0
,1925,0
,1926,0
,1927,0
,1928,0
,1929,0
,1930,0
,1931,0
,1932,0
,1933,0
,1934,0
,1935,0
,1936,0
,1937,0
,1938,0
,1939,0
,1940,0
,1941,0
,1942,0
,1943,0
,1944,0
,1945,0
,1946,0
,1947,0
,1948,0
,1949,0
,1950,0
,1951,0
,1952,0
,1953,0
,1954,0
,1955,0
,1956,0
,1957,0
,1958,0
,1959,0
,1960,0
,1961,0
,1962,0
,1963,0
,1964,0
,1965,0
,1966,0
,1967,0
,1968,0
,1969,0
,1970,0
,1971,0
,1972,3.1347476466455265e-10
,1973,3.1347476466455265e-10
,1974,3.1347476466455265e-10
,1975,0
,1976,7.364599208248279e-11
,1977,7.364599208248279e-11
,1978,1.2659776329101053e-9
,1979,1.536616463700587e-9
,1980,2.291176211718001e-9
,1981,1.8860683385450252e-9
,1982,3.0702725547134455e-9
,1983,3.6904372890944614e-9
,1984,4.409774471506959e-9
,1985,3.866966598783013e-9
,1986,3.293920691760377e-9
,1987,2.5560341250970473e-9
,1988,2.2485620772746038e-9
,1989,2.523101061413513e-9
,1990,2.3984827457468327e-9
,1991,2.305029981701049e-9
,1992,1.3982257573985635e-9
,1993,1.5842052854727247e-9
,1994,2.6098004868302382e-9
,1995,3.529124400121949e-9
,1996,4.077088592661464e-9
,1997,4.491242785083689e-9
,1998,4.259672910696584e-9
,1999,3.5905302434950195e-9
,2000,2.125100613999583e-9
,2001,2.2558045801683115e-9
,2002,2.8965385645562947e-9
,2003,2.7473689619602246e-9
,2004,3.0572170350851025e-9
,2005,2.868873028027963e-9
,2006,3.811214307110807e-9
,2007,3.801528721443977e-9
,2008,3.960422434445832e-9
pulp,1800,0.000003512497073643317
,1801,0.0000030171615890139947
,1802,0.000003896080367364145
,1803,0.000004016033926745877
,1804,0.000004227844480434821
,1805,0.000002888845377431911
,1806,0.0000027823937216453487
,1807,0.0000022797368425623668
,1808,0.0000024284884148073616
,1809,0.000001995040141385592
